Params	Time Savings	BD-BR Inc	RDCCOst
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=8_TestRect=0.2	0.76	0.123	0.16
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=8_TestRect=0.2	0.77	0.134	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=32_TestRect=0.2	0.77	0.134	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=32_TestRect=0.1	0.78	0.132	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=32_TestRect=0.1	0.77	0.121	0.16
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=8_TestRect=0.1	0.78	0.123	0.16
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=8_TestRect=0.1	0.78	0.134	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=8_TestRect=0.1	0.82	0.146	0.18
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=32_TestRect=0.1	0.82	0.144	0.18
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=32_TestRect=0.1	0.81	0.144	0.18
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=8_TestRect=0.1	0.82	0.145	0.18
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=8_TestRect=0.2	0.80	0.143	0.18
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=8_TestRect=0	0.83	0.148	0.18
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=8_TestRect=0	0.79	0.126	0.16
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=32_TestRect=0	0.79	0.126	0.16
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=32_TestRect=0	0.80	0.128	0.16
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=8_TestRect=0	0.80	0.128	0.16
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=8_TestRect=0	0.84	0.151	0.18
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=32_TestRect=0	0.84	0.149	0.18
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0	0.84	0.272	0.32
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.9	0.72	0.223	0.31
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.9	0.71	0.146	0.21
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.9	0.66	0.133	0.20
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.8	0.67	0.133	0.20
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.8	0.68	0.204	0.30
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.9	0.67	0.202	0.30
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.7	0.69	0.202	0.29
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.7	0.69	0.136	0.20
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.6	0.70	0.157	0.22
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.6	0.71	0.220	0.31
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.5	0.72	0.211	0.29
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.5	0.72	0.148	0.21
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.5	0.76	0.164	0.22
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.8	0.72	0.148	0.21
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.8	0.73	0.226	0.31
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.7	0.74	0.223	0.30
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.7	0.73	0.151	0.21
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.6	0.75	0.160	0.21
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.6	0.76	0.221	0.29
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.5	0.77	0.224	0.29
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.4	0.79	0.235	0.30
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.4	0.78	0.170	0.22
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.4	0.74	0.147	0.20
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.4	0.74	0.216	0.29
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.3	0.75	0.218	0.29
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.3	0.75	0.153	0.20
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.3	0.79	0.168	0.21
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.3	0.79	0.239	0.30
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.2	0.82	0.246	0.30
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.2	0.81	0.178	0.22
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.2	0.77	0.151	0.20
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.2	0.77	0.229	0.30
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.1	0.78	0.221	0.28
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.1	0.78	0.156	0.20
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.1	0.82	0.181	0.22
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=3_SearchRange=0_TestRect=0.1	0.82	0.266	0.32
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0.1	0.84	0.264	0.32
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.1	0.84	0.158	0.19
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.1	0.83	0.156	0.19
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.9	0.73	0.122	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.9	0.69	0.115	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.9	0.69	0.115	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.8	0.70	0.117	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.8	0.69	0.116	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.8	0.70	0.118	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.9	0.69	0.117	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.9	0.70	0.117	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.8	0.71	0.116	0.16
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.7	0.71	0.117	0.16
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.7	0.71	0.115	0.16
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.7	0.70	0.117	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.7	0.71	0.119	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.6	0.73	0.121	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.6	0.72	0.119	0.16
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.6	0.73	0.119	0.16
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.6	0.73	0.120	0.16
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.5	0.74	0.126	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.5	0.74	0.120	0.16
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.5	0.73	0.124	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.5	0.74	0.126	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.5	0.78	0.144	0.18
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.5	0.78	0.141	0.18
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.8	0.74	0.124	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.8	0.74	0.126	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.9	0.73	0.122	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.9	0.74	0.124	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.9	0.74	0.120	0.16
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.8	0.75	0.121	0.16
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.8	0.75	0.127	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.7	0.76	0.128	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.7	0.76	0.130	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.7	0.75	0.126	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.7	0.75	0.127	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.6	0.77	0.136	0.18
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.6	0.77	0.135	0.18
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.6	0.77	0.137	0.18
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.6	0.78	0.137	0.18
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.5	0.79	0.143	0.18
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.5	0.78	0.143	0.18
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.4	0.80	0.147	0.18
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.4	0.80	0.144	0.18
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.4	0.75	0.124	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.4	0.76	0.129	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.4	0.76	0.132	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.4	0.76	0.127	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.3	0.77	0.131	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.3	0.76	0.128	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.3	0.76	0.133	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.3	0.77	0.135	0.18
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.3	0.81	0.140	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.3	0.81	0.138	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.3	0.80	0.141	0.18
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.3	0.80	0.141	0.18
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.4	0.80	0.147	0.18
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.4	0.80	0.149	0.19
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.2	0.83	0.157	0.19
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.2	0.83	0.154	0.19
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.2	0.82	0.154	0.19
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.2	0.78	0.134	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.2	0.78	0.134	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.2	0.79	0.138	0.18
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.2	0.79	0.133	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.1	0.80	0.137	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0.1	0.79	0.136	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.1	0.79	0.138	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.1	0.80	0.138	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.1	0.84	0.160	0.19
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.1	0.83	0.159	0.19
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0.2	0.82	0.155	0.19
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0	0.85	0.164	0.19
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0	0.84	0.165	0.19
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0	0.81	0.137	0.17
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0	0.81	0.141	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0	0.81	0.141	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0	0.81	0.140	0.17
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=32_TestRect=0	0.85	0.167	0.20
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=8_TestRect=0	0.85	0.165	0.19
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0	0.85	0.303	0.36
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0	0.85	0.200	0.24
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=1_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0.9	0.74	0.156	0.21
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0.9	0.70	0.153	0.22
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0.8	0.71	0.150	0.21
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0.8	0.71	0.214	0.30
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0.9	0.70	0.210	0.30
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0.7	0.72	0.214	0.30
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0.7	0.72	0.153	0.21
AMP=0_BipredSearchRange=2_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0.6	0.73	0.161	0.22
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0.6	0.74	0.219	0.30
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_QuadtreeTUMaxDepthInter=2_RDOQ=0_RefFrames=2_SearchRange=0_TestRect=0.5	0.75	0.225	0.30
