		Reference					TestRectPeriod=0.2					TestRectPeriod=0.4					TestRectPeriod=0.6					TestRectPeriod=0.8
Sequence	QP	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time
ParkScene	32	1510.131	34.2129	38.1488	39.5446	2789.208	1510.131	34.2129	38.1488	39.5446	2777.02	1510.131	34.2129	38.1488	39.5446	2774.493	1510.131	34.2129	38.1488	39.5446	2909.511	1510.131	34.2129	38.1488	39.5446	2826.848	
ParkScene	37	654.861	31.6735	37.069	38.8175	2532.793	654.861	31.6735	37.069	38.8175	2522.089	654.861	31.6735	37.069	38.8175	2521.818	654.861	31.6735	37.069	38.8175	2644.899	654.861	31.6735	37.069	38.8175	2566.592	
RaceHorsesC	22	6289.0425	39.489	41.3197	42.1995	1124.643	6289.0425	39.489	41.3197	42.1995	1079.702	6289.0425	39.489	41.3197	42.1995	1082.023	6289.0425	39.489	41.3197	42.1995	1079.25	6289.0425	39.489	41.3197	42.1995	1083.595	
RaceHorsesC	27	2528.1262	35.4574	38.7522	39.7774	924.33	2528.1262	35.4574	38.7522	39.7774	889.026	2528.1262	35.4574	38.7522	39.7774	889.03	2528.1262	35.4574	38.7522	39.7774	887.817	2528.1262	35.4574	38.7522	39.7774	889.051	
RaceHorsesC	32	1128.3338	32.0627	36.9044	37.8268	793.278	1128.3338	32.0627	36.9044	37.8268	760.1	1128.3338	32.0627	36.9044	37.8268	761.389	1128.3338	32.0627	36.9044	37.8268	759.28	1128.3338	32.0627	36.9044	37.8268	763.027	
RaceHorsesC	37	517.5638	29.1105	35.7319	36.432	696.087	517.5638	29.1105	35.7319	36.432	666.537	517.5638	29.1105	35.7319	36.432	667.058	517.5638	29.1105	35.7319	36.432	665.796	517.5638	29.1105	35.7319	36.432	667.054	
BQMall	22	5397.42	39.6266	42.6368	43.5766	749.245	5397.42	39.6266	42.6368	43.5766	749.011	5397.42	39.6266	42.6368	43.5766	749.111	5397.42	39.6266	42.6368	43.5766	748.521	5397.42	39.6266	42.6368	43.5766	748.501	
BQMall	27	2462.7825	36.5677	40.507	40.9303	627.211	2462.7825	36.5677	40.507	40.9303	627.862	2462.7825	36.5677	40.507	40.9303	627.569	2462.7825	36.5677	40.507	40.9303	627.894	2462.7825	36.5677	40.507	40.9303	625.76	
BQMall	32	1200.525	33.4729	38.8568	38.9529	551.768	1200.525	33.4729	38.8568	38.9529	552.935	1200.525	33.4729	38.8568	38.9529	552.433	1200.525	33.4729	38.8568	38.9529	551.962	1200.525	33.4729	38.8568	38.9529	552.229	
BQMall	37	612.2025	30.4879	37.5142	37.4694	501.623	612.2025	30.4879	37.5142	37.4694	501.578	612.2025	30.4879	37.5142	37.4694	503.588	612.2025	30.4879	37.5142	37.4694	501.238	612.2025	30.4879	37.5142	37.4694	501.955	
ChinaSpeed	22	5265.2887	43.4042	45.5647	45.7258	1644.736	5265.2887	43.4042	45.5647	45.7258	1654.166	5265.2887	43.4042	45.5647	45.7258	1651.792	5265.2887	43.4042	45.5647	45.7258	1691.363	5265.2887	43.4042	45.5647	45.7258	1703.764	
ChinaSpeed	27	2672.8125	39.4044	42.4214	42.4326	1426.667	2672.8125	39.4044	42.4214	42.4326	1442.265	2672.8125	39.4044	42.4214	42.4326	1452.696	2672.8125	39.4044	42.4214	42.4326	1465.347	2672.8125	39.4044	42.4214	42.4326	1478.941	
ChinaSpeed	32	1397.9813	35.6673	40.0517	39.8879	1237.125	1397.9813	35.6673	40.0517	39.8879	1254.89	1397.9813	35.6673	40.0517	39.8879	1247.446	1397.9813	35.6673	40.0517	39.8879	1276.93	1397.9813	35.6673	40.0517	39.8879	1285.907	
ChinaSpeed	37	756.3975	32.196	38.3816	38.1829	1095.332	756.3975	32.196	38.3816	38.1829	1112.554	756.3975	32.196	38.3816	38.1829	1104.278	756.3975	32.196	38.3816	38.1829	1128.921	756.3975	32.196	38.3816	38.1829	1137.235	
BasketballDrillText	22	3463.2125	40.583	42.8954	43.4433	780.967	3463.2125	40.583	42.8954	43.4433	807.38	3463.2125	40.583	42.8954	43.4433	809.822	3463.2125	40.583	42.8954	43.4433	812.238	3463.2125	40.583	42.8954	43.4433	795.892	
BasketballDrillText	27	1644.4313	37.379	40.2494	40.5067	667.615	1644.4313	37.379	40.2494	40.5067	687.272	1644.4313	37.379	40.2494	40.5067	692.682	1644.4313	37.379	40.2494	40.5067	692.266	1644.4313	37.379	40.2494	40.5067	679.002	
BasketballDrillText	32	796.9375	34.4224	38.0208	38.1175	584.855	796.9375	34.4224	38.0208	38.1175	601.452	796.9375	34.4224	38.0208	38.1175	604.397	796.9375	34.4224	38.0208	38.1175	603.453	796.9375	34.4224	38.0208	38.1175	596.844	
BasketballDrillText	37	415.825	31.8098	36.3523	36.3496	530.514	415.825	31.8098	36.3523	36.3496	545.455	415.825	31.8098	36.3523	36.3496	547.617	415.825	31.8098	36.3523	36.3496	548.706	415.825	31.8098	36.3523	36.3496	541.367	
Johnny	22	2178.2175	42.8218	47.7554	48.3656	1189.548	2178.2175	42.8218	47.7554	48.3656	1283.033	2178.2175	42.8218	47.7554	48.3656	1197.408	2178.2175	42.8218	47.7554	48.3656	1191.099	2178.2175	42.8218	47.7554	48.3656	1189.654	
Johnny	27	650.655	41.0142	46.0409	46.6979	1022.091	650.655	41.0142	46.0409	46.6979	1113.14	650.655	41.0142	46.0409	46.6979	1030.197	650.655	41.0142	46.0409	46.6979	1025.283	650.655	41.0142	46.0409	46.6979	1025.274	
Johnny	32	301.71	38.9958	44.3519	44.8011	959.83	301.71	38.9958	44.3519	44.8011	1046.073	301.71	38.9958	44.3519	44.8011	967.283	301.71	38.9958	44.3519	44.8011	958.681	301.71	38.9958	44.3519	44.8011	961.764	
Johnny	37	158.7675	36.5774	43.0252	43.4215	926.397	158.7675	36.5774	43.0252	43.4215	1005.517	158.7675	36.5774	43.0252	43.4215	928.806	158.7675	36.5774	43.0252	43.4215	923.425	158.7675	36.5774	43.0252	43.4215	923.094	
FourPeople	22	2432.1825	42.4722	46.3267	47.6098	1135.256	2432.1825	42.4722	46.3267	47.6098	1140.057	2432.1825	42.4722	46.3267	47.6098	1139.005	2432.1825	42.4722	46.3267	47.6098	1140.848	2432.1825	42.4722	46.3267	47.6098	1140.273	
FourPeople	27	961.1325	40.2973	44.3595	45.6253	1001.549	961.1325	40.2973	44.3595	45.6253	1005.766	961.1325	40.2973	44.3595	45.6253	1004.492	961.1325	40.2973	44.3595	45.6253	1006.499	961.1325	40.2973	44.3595	45.6253	1005.287	
FourPeople	32	494.6175	37.7459	42.5719	43.7389	947.163	494.6175	37.7459	42.5719	43.7389	950.537	494.6175	37.7459	42.5719	43.7389	949.112	494.6175	37.7459	42.5719	43.7389	950.878	494.6175	37.7459	42.5719	43.7389	951.259	
FourPeople	37	271.2675	34.8435	41.2515	42.4244	913.67	271.2675	34.8435	41.2515	42.4244	919.847	271.2675	34.8435	41.2515	42.4244	919.172	271.2675	34.8435	41.2515	42.4244	918.823	271.2675	34.8435	41.2515	42.4244	918.817	
